description=变温分布图配色表
unit=r'$^{\circ}C$'
vmin , vmax , r   , g   , b   , label
None , -16  , 2   , 12  , 100 ,
-16  , -14  , 17  , 49  , 139 ,
-14  , -12  , 38  , 87  , 179 ,
-12  , -10  , 59  , 126 , 219 ,
-10  , -8   , 97  , 150 , 224 ,
-8   , -6   , 135 , 175 , 229 ,
-6   , -4   , 154 , 196 , 220 ,
-4   , -2   , 152 , 214 , 196 ,
-2   , -0   , 151 , 232 , 173 ,
0    , 2    , 215 , 222 , 126 ,
2    , 4    , 244 , 217 , 99  ,
4    , 6    , 247 , 180 , 45  ,
6    , 8    , 241 , 147 , 3   ,
8    , 10   , 239 , 117 , 17  ,
10   , 12   , 231 , 75  , 26  ,
12   , 14   , 208 , 36  , 14  ,
14   , 16   , 169 , 2   , 16  ,
16   , None , 111 , 0   , 21  ,
