description=海平面气压色标(台风动力诊断 采自国家气象信息中心)
unit=hPa
vmin   , vmax   , r   , g   , b   , label
980    , 982.5  , 106 , 1   , 31  ,
982.5  , 985    , 141 , 12  , 37  ,
985    , 987.5  , 179 , 25  , 44  ,
987.5  , 990    , 200 , 68  , 64  ,
990    , 992.5  , 215 , 99  , 79  ,
992.5  , 995    , 233 , 139 , 110 ,
995    , 997.5  , 246 , 175 , 142 ,
997.5  , 1000   , 250 , 200 , 175 ,
1000   , 1002.5 , 252 , 223 , 207 ,
1002.5 , 1005   , 249 , 240 , 235 ,
1005   , 1007.5 , 239 , 243 , 245 ,
1007.5 , 1010   , 218 , 233 , 242 ,
1010   , 1012.5 , 189 , 219 , 234 ,
1012.5 , 1015   , 160 , 204 , 226 ,
1015   , 1017.5 , 120 , 180 , 213 ,
1017.5 , 1020   , 76  , 153 , 198 ,
1020   , 1022.5 , 55  , 131 , 187 ,
1022.5 , 1025   , 36  , 106 , 174 ,
1025   , 1027.5   , 20  , 78  , 138 ,
1027.5   , None   , 5   , 48  , 97  ,
