description=海表温度色标(采自国家气象信息中心)
unit=r'$^{\circ}C$'
vmin , vmax , r   , g   , b   , label
16   , 17   , 0   , 0   , 255 ,
17   , 18   , 0   , 77  , 255 ,
18   , 19   , 0   , 155 , 255 ,
19   , 20   , 0   , 232 , 255 ,
20   , 21   , 2   , 239 , 204 ,
21   , 22   , 4   , 216 , 131 ,
22   , 23   , 7   , 193 , 59  ,
23   , 24   , 37  , 188 , 13  ,
24   , 25   , 110 , 210 , 9   ,
25   , 26   , 182 , 233 , 4   ,
26   , 27   , 255 , 255 , 0   ,
27   , 28   , 255 , 230 , 0   ,
28   , 29   , 255 , 203 , 0   ,
29   , 30   , 255 , 176 , 0   ,
30   , 31   , 255 , 135 , 0   ,
31   , 32   , 255 , 85  , 0   ,
32   , 33   , 255 , 35  , 0   ,
33   , 34   , 240 , 0   , 12  ,
34   , 35   , 189 , 0   , 54  ,
35   , 36   , 138 , 0   , 95  ,
36   , None   , 87  , 0   , 136 ,
