description=海表温度色标(采自国家气象信息中心，渐变版)
unit=r'$^{\circ}C$'
vmin , vmax , r   , g   , b   , label
None , 16   , 0   , 0   , 255 ,
16   , 16   , 0   , 0   , 255 ,
17   , 17   , 0   , 77  , 255 ,
18   , 18   , 0   , 155 , 255 ,
19   , 19   , 0   , 232 , 255 ,
20   , 20   , 2   , 239 , 204 ,
21   , 21   , 4   , 216 , 131 ,
22   , 22   , 7   , 193 , 59  ,
23   , 23   , 37  , 188 , 13  ,
24   , 24   , 110 , 210 , 9   ,
25   , 25   , 182 , 233 , 4   ,
26   , 26   , 255 , 255 , 0   ,
27   , 27   , 255 , 230 , 0   ,
28   , 28   , 255 , 203 , 0   ,
29   , 29   , 255 , 176 , 0   ,
30   , 30   , 255 , 135 , 0   ,
31   , 31   , 255 , 85  , 0   ,
32   , 32   , 255 , 35  , 0   ,
33   , 33   , 240 , 0   , 12  ,
34   , 34   , 189 , 0   , 54  ,
35   , 35   , 138 , 0   , 95  ,
35   , None , 87  , 0   , 136 ,
