description=气温分布图配色表
unit=r'$^{\circ}C$'
vmin , vmax , r   , g   , b   , label
None , -30  , 2   , 12  , 100 ,
-30  , -28  , 7   , 30  , 120 ,
-28  , -26  , 17  , 49  , 139 ,
-26  , -24  , 27  , 68  , 159 ,
-24  , -22  , 38  , 87  , 179 ,
-22  , -20  , 48  , 106 , 199 ,
-20  , -18  , 59  , 126 , 219 ,
-18  , -16  , 78  , 138 , 221 ,
-16  , -14  , 97  , 150 , 224 ,
-14  , -12  , 116 , 163 , 226 ,
-12  , -10  , 135 , 175 , 229 ,
-10  , -8   , 155 , 188 , 232 ,
-8   , -6   , 154 , 196 , 220 ,
-6   , -4   , 153 , 205 , 208 ,
-4   , -2   , 152 , 214 , 196 ,
-2   , 0    , 151 , 232 , 173 ,
0    , 2    , 215 , 222 , 126 ,
2    , 4    , 234 , 219 , 112 ,
4    , 6    , 244 , 217 , 99  ,
6    , 8    , 250 , 204 , 79  ,
8    , 10   , 247 , 180 , 45  ,
10   , 12   , 242 , 155 , 0   ,
12   , 14   , 241 , 147 , 3   ,
14   , 16   , 240 , 132 , 10  ,
16   , 18   , 239 , 117 , 17  ,
18   , 20   , 238 , 102 , 24  ,
20   , 22   , 238 , 88  , 31  ,
22   , 24   , 231 , 75  , 26  ,
24   , 26   , 224 , 63  , 22  ,
26   , 28   , 217 , 51  , 18  ,
28   , 30   , 208 , 36  , 14  ,
30   , 32   , 194 , 0   , 3   ,
32   , 34   , 181 , 1   , 9   ,
34   , 35   , 169 , 2   , 16  ,
35   , 37   , 138 , 5   , 25  ,
37   , 40   , 111 , 0   , 21  ,
40   , None , 80  , 0   , 15  ,
