description=气温距平分布图配色表
unit=r'$^{\circ}C$'
vmin , vmax , r   , g   , b   , label
None , -8   , 2   , 12  , 100 ,
-8   , -7   , 17  , 49  , 139 ,
-7   , -6   , 38  , 87  , 179 ,
-6   , -5   , 59  , 126 , 219 ,
-5   , -4   , 97  , 150 , 224 ,
-4   , -3   , 135 , 175 , 229 ,
-3   , -2   , 154 , 196 , 220 ,
-2   , -1   , 152 , 214 , 196 ,
-1   , 0    , 151 , 232 , 173 ,
0    , 1    , 215 , 222 , 126 ,
1    , 2    , 244 , 217 , 99  ,
2    , 3    , 247 , 180 , 45  ,
3    , 4    , 241 , 147 , 3   ,
4    , 5    , 239 , 117 , 17  ,
5    , 6    , 231 , 75  , 26  ,
6    , 7    , 208 , 36  , 14  ,
7    , 8    , 169 , 2   , 16  ,
8    , None , 111 , 0   , 21  ,
