description=气温实况色标(采自国家气象信息中心)
unit=r'$^{\circ}C$'
vmin , vmax , r   , g   , b   , label
None , -32  , 120 , 4   , 113 ,
-32  , -28  , 0   , 47  , 158 ,
-28  , -24  , 24  , 89  , 183 ,
-24  , -20  , 32  , 115 , 219 ,
-20  , -16  , 65  , 159 , 233 ,
-16  , -12  , 102 , 213 , 255 ,
-12  , -8   , 152 , 226 , 239 ,
-8   , -4   , 189 , 248 , 254 ,
-4   , 0    , 243 , 254 , 255 ,
0    , 4    , 220 , 255 , 213 ,
4    , 8    , 192 , 254 , 179 ,
8    , 12   , 180 , 255 , 130 ,
12   , 16   , 251 , 253 , 143 ,
16   , 20   , 254 , 242 , 192 ,
20   , 24   , 254 , 223 , 176 ,
24   , 28   , 255 , 174 , 118 ,
28   , 32   , 251 , 135 , 138 ,
32   , 35   , 254 , 86  , 0   ,
35   , None , 143 , 8   , 20  ,

