description=风力等级（6级以上）分布图配色表
unit=
vmin , vmax , r   , g   , b   , label
6    , 6    , 151 , 232 , 173 , 6级
7    , 7    , 153 , 210 , 202 , 7级
8    , 8    , 155 , 188 , 232 , 8级
9    , 9    , 107 , 157 , 225 , 9级
10   , 10   , 59  , 126 , 219 , 10级
11   , 11   , 43  , 92  , 194 , 11级
12   , 12   , 28  , 59  , 169 , 12级
13   , 13   , 17  , 44  , 144 , 13级
14   , 14   , 7   , 30  , 120 , 14级
15   , 15   , 70  , 25  , 129 , 15级
16   , 16   , 134 , 21  , 138 , 16级
17   , 17   , 200 , 17  , 169 , 17级
