description=10m风速色标(6.25km 1h 采自国家气象信息中心)
unit=m/s
vmin , vmax , r   , g   , b   , label
0    , 0.2  , 88  , 0   , 135 ,
0.2  , 0.4  , 121 , 0   , 105 ,
0.4  , 0.6  , 159 , 2   , 78  ,
0.6  , 0.8  , 192 , 1   , 50  ,
0.8  , 1.0  , 227 , 0   , 26  ,
1.0  , 1.2  , 253 , 1   , 1   ,
1.2  , 1.4  , 254 , 75  , 0   ,
1.4  , 1.6  , 255 , 39  , 2   ,
1.6  , 1.8  , 255 , 75  , 0   ,
1.8  , 2.0  , 253 , 110 , 1   ,
2.0  , 2.2  , 252 , 145 , 1   ,
2.2  , 2.4  , 252 , 173 , 2   ,
2.4  , 2.6  , 254 , 190 , 1   ,
2.6  , 2.8  , 254 , 207 , 3   ,
2.8  , 3.4  , 253 , 247 , 0   ,
3.4  , 4.0  , 226 , 246 , 0   ,
4    , 5    , 177 , 229 , 5   ,
5    , 6    , 123 , 215 , 8   ,
6    , 7    , 71  , 199 , 11  ,
7    , 8    , 26  , 187 , 11  ,
8    , 9    , 7   , 201 , 94  ,
9    , 10   , 3   , 219 , 146 ,
10   , 11   , 0   , 237 , 196 ,
11   , 12   , 0   , 254 , 250 ,
12   , 13   , 2   , 209 , 251 ,
13   , 14   , 0   , 163 , 255 ,
14   , 15   , 0   , 106 , 252 ,
15   , 16   , 4   , 54  , 250 ,
16   , None , 1   , 0   , 252 ,

