description=10m风速色标(台风动力诊断 采自国家气象信息中心)
unit=m/s
vmin , vmax , r   , g   , b   , label
1.6  , 3.4  , 255 , 255 , 255 ,
3.4  , 5.5  , 148 , 148 , 148 ,
5.5  , 8.0  , 59  , 128 , 214 ,
8.0  , 10.8 , 114 , 179 , 225 ,
10.8 , 13.9 , 168 , 230 , 237 ,
13.9 , 17.2 , 107 , 223 , 116 ,
17.2 , 20.8 , 164 , 242 , 162 ,
20.8 , 24.5 , 238 , 214 , 150 ,
24.5 , 28.5 , 206 , 129 , 95  ,
28.5 , 32.7 , 174 , 44  , 39  ,
32.7 , 37.0 , 121 , 87  , 79  ,
37.0 , 41.5 , 161 , 127 , 119 ,
41.5 , 46.2 , 202 , 167 , 158 ,
46.2 , 51.0 , 236 , 198 , 190 ,
51.0 , 56.1 , 227 , 160 , 153 ,
56.1 , 61.3 , 218 , 121 , 117 ,
61.3 , None , 208 , 82  , 79  ,

