description=温度色标
unit=r'$^{\circ}C$'
vmin , vmax , r   , g   , b   , label
None , -12  , 5   , 43  , 140 ,
-12  , -8   , 24  , 93  , 166 ,
-8   , -4   , 31  , 117 , 212 ,
-4   , 0    , 64  , 159 , 235 ,
0    , 4    , 136 , 208 , 255 ,
4    , 8    , 171 , 234 , 248 ,
8    , 12   , 210 , 251 , 255 ,
12   , 16   , 244 , 254 , 239 ,
16   , 20   , 203 , 255 , 203 ,
20   , 24   , 191 , 254 , 138 ,
24   , 28   , 255 , 254 , 160 ,
28   , 32   , 255 , 243 , 195 ,
32   , 35   , 254 , 206 , 163 ,
35   , 37   , 250 , 151 , 130 ,
37   , 40   , 248 , 89  , 0   ,
40   , None , 237 , 0   , 0   ,


