description=组合反射率色标
unit=dBZ
vmin , vmax , r   , g   , b   , label
0    , 5    , 0   , 0   , 246 ,
5    , 10   , 1   , 160 , 246 ,
10   , 15   , 0   , 236 , 236 ,
15   , 20   , 1   , 255 , 0   ,
20   , 25   , 0   , 200 , 0   ,
25   , 30   , 1   , 144 , 0   ,
30   , 35   , 255 , 255 , 0   ,
35   , 40   , 231 , 192 , 0   ,
40   , 45   , 255 , 144 , 0   ,
45   , 50   , 255 , 0   , 0   ,
50   , 55   , 214 , 0   , 0   ,
55   , 60   , 192 , 0   , 0   ,
60   , 65   , 255 , 0   , 240 ,
65   , 70   , 120 , 0   , 132 ,
70   , None , 173 , 144 , 240 ,
