description=回波顶高色标
unit=km
vmin , vmax , r   , g   , b   , label
0    , 2    , 0   , 0   , 0   ,
2    , 3    , 118 , 118 , 118 ,
3    , 5    , 0   , 224 , 255 ,
5    , 6    , 0   , 176 , 255 ,
6    , 8    , 0   , 144 , 204 ,
8    , 9    , 50  , 0   , 150 ,
9    , 11   , 0   , 251 , 144 ,
11   , 12   , 0   , 187 , 0   ,
12   , 14   , 0   , 239 , 0   ,
14   , 15   , 254 , 191 , 0   ,
15   , 17   , 255 , 255 , 0   ,
17   , 18   , 174 , 0   , 0   ,
18   , 20   , 255 , 0   , 0   ,
20   , 21   , 255 , 255 , 255 ,
21   , None , 231 , 0   , 255 ,
