description=降水累积量色标
unit=mm
vmin  , vmax  , r   , g   , b   , label
0     , 2.54  , 170 , 170 , 170 ,
2.54  , 6.35  , 118 , 118 , 118 ,
6.35  , 12.7  , 0   , 255 , 255 ,
12.7  , 19.05 , 0   , 175 , 175 ,
19.05 , 25.4  , 0   , 255 , 0   ,
25.4  , 31.75 , 0   , 143 , 0   ,
31.75 , 38.1  , 255 , 0   , 255 ,
38.1  , 44.45 , 175 , 50  , 125 ,
44.45 , 50.8  , 0   , 0   , 255 ,
50.8  , 63.5  , 50  , 0   , 150 ,
63.5  , 76.2  , 255 , 255 , 0   ,
76.2  , 101.6 , 255 , 170 , 0   ,
101.6 , 152.4 , 255 , 0   , 0   ,
152.4 , 203.2 , 174 , 0   , 0   ,
203.2 , None  , 255 , 255 , 255 ,

