description=反射率色标
unit=dBZ
vmin , vmax , r   , g   , b   , label
-5   , 0    , 0   , 172 , 164 ,
0    , 5    , 192 , 192 , 254 ,
5    , 10   , 122 , 114 , 238 ,
10   , 15   , 30  , 38  , 208 ,
15   , 20   , 166 , 252 , 168 ,
20   , 25   , 0   , 234 , 0   ,
25   , 30   , 16  , 146 , 26  ,
30   , 35   , 252 , 244 , 100 ,
35   , 40   , 200 , 200 , 2   ,
40   , 45   , 140 , 140 , 0   ,
45   , 50   , 254 , 172 , 172 ,
50   , 55   , 254 , 100 , 84  ,
55   , 60   , 238 , 2   , 48  ,
60   , 65   , 212 , 142 , 254 ,
65   , None , 170 , 36  , 250 ,
