description=谱宽色标
unit=m/s
vmin , vmax , r   , g   , b   , label
0    , 1    , 224 , 224 , 224 ,
1    , 2    , 124 , 224 , 224 ,
2    , 3    , 0   , 224 , 224 ,
3    , 4    , 0   , 176 , 176 ,
4    , 5    , 0   , 254 , 254 ,
5    , 6    , 0   , 196 , 0   ,
6    , 7    , 0   , 128 , 0   ,
7    , 8    , 254 , 254 , 0   ,
8    , 9    , 254 , 210 , 0   ,
9    , 10   , 254 , 124 , 0   ,
10   , 11   , 254 , 176 , 176 ,
11   , 12   , 175 , 88  , 88  ,
12   , 13   , 254 , 0   , 0   ,
13   , None , 230 , 0   , 0   ,
