description=多普勒速度色标
unit=m/s
vmin , vmax , r   , g   , b   , label
None , -27  , 126 , 224 , 254 ,
-27  , -20  , 0   , 224 , 254 ,
-20  , -15  , 0   , 176 , 176 ,
-15  , -10  , 0   , 254 , 0   ,
-10  , -5   , 0   , 196 , 0   ,
-5   , -1   , 0   , 128 , 0   ,
-1   , 0    , 254 , 254 , 254 ,
0    , 1    , 252 , 252 , 252 ,
1    , 5    , 254 , 0   , 0   ,
5    , 10   , 254 , 88  , 88  ,
10   , 15   , 254 , 176 , 176 ,
15   , 20   , 254 , 124 , 0   ,
20   , 27   , 254 , 210 , 0   ,
27   , None , 254 , 254 , 0   ,
