description=液态含水量色标
unit=r'$kg/m^2$'
vmin , vmax , r   , g   , b   , label
1    , 5    , 156 , 156 , 156 ,
5    , 10   , 118 , 118 , 118 ,
10   , 15   , 250 , 170 , 170 ,
15   , 20   , 238 , 140 , 140 ,
20   , 25   , 201 , 112 , 112 ,
25   , 30   , 0   , 251 , 144 ,
30   , 35   , 0   , 187 , 0   ,
35   , 40   , 255 , 255 , 112 ,
40   , 45   , 208 , 208 , 96  ,
45   , 50   , 255 , 96  , 96  ,
50   , 55   , 218 , 0   , 0   ,
55   , 60   , 174 , 0   , 0   ,
60   , 65   , 0   , 0   , 255 ,
65   , 70   , 255 , 255 , 255 ,
70   , None , 231 , 0   , 255 ,

